id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
2920,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15 - 19,PEREMPUAN,37042,JIWA,2023
2922,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20 - 24,PEREMPUAN,47637,JIWA,2023
2924,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25 - 29,PEREMPUAN,44704,JIWA,2023
2926,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,PEREMPUAN,42329,JIWA,2023
2928,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,PEREMPUAN,37710,JIWA,2023
2930,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40 - 44,PEREMPUAN,44399,JIWA,2023
2932,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45 - 49,PEREMPUAN,38841,JIWA,2023
2934,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50 - 54,PEREMPUAN,41194,JIWA,2023
2936,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55 - 59,PEREMPUAN,36345,JIWA,2023
2938,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60 - 64,PEREMPUAN,31118,JIWA,2023
2940,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65 - 69,PEREMPUAN,23805,JIWA,2023
2942,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70 - 74,PEREMPUAN,17442,JIWA,2023
2944,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,75+,PEREMPUAN,23729,JIWA,2023
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
